"",,,,,,3WAY,,DOUBLE CHANCE,1ST HALF 1X2,GG/NG
DATE,TIME,GAME ID,,MATCH,,,,,,
"",,,,,1,X,2,1X 12 X2,1 X 2,Yes No
01/08/2020,23:56,53897,FC BAYERN MUNICH (INDRA13_27),vs BORUSSIA DORTMUND (FLESHKA77),2.50,4.60,2.25,1.60 1.21 1.50,- - -,- -
01/08/2020,23:56,43248,BAYER 04 LEVERKUSEN (THIAGO),vs RB LEIPZIG (SKRIPP),2.95,4.20,2.10,1.69 1.23 1.39,- - -,- -
01/08/2020,23:56,77619,1. FC KOLN (APHEX),vs EINTRACHT FRANKFURT (ALBACK),3.00,4.75,1.94,1.79 1.20 1.37,- - -,- -
01/08/2020,23:56,39930,WERDER BREMEN (STDM),vs TSG 1899 HOFFENHEIM (IAMDEVILWALK),2.45,4.20,2.45,1.53 1.23 1.53,- - -,- -
02/08/2020,00:00,40736,CHATTANOOGA RED WOLVES SC,vs TUCSON,1.78,3.40,4.10,1.19 1.25 1.77,2.44 2.08 4.80,1.89 1.72
02/08/2020,00:00,21772845,INDEPENDIENTE (VINICAI_),vs FLUMINENSE (LIMA_R),19.00,15.00,1.06,6.20 1.02 1.02,- - -,- -
02/08/2020,00:00,37575,TOLIMA (CASSIANO_F),vs COLO COLO (DDANIEL),1.75,4.60,3.70,1.28 1.20 1.98,- - -,- -
02/08/2020,00:10,83304,FC BAYERN MUNICH (INDRA13_27),vs BORUSSIA MONCHENGLADBACH (WALKER),13.00,7.50,1.18,4.10 1.09 1.05,- - -,- -
02/08/2020,00:20,17398,COLO COLO (DDANIEL),vs ALIANZA LIMA (LUIS_F),1.75,4.60,3.70,1.28 1.20 1.98,- - -,- -
02/08/2020,00:20,10788,ROSARIO CENTRAL (DRE_S),vs UNIVERSITARIO (F_MATHI),9.50,7.50,1.22,3.70 1.09 1.07,- - -,- -
02/08/2020,00:24,89077,BORUSSIA DORTMUND (FLESHKA77),vs BORUSSIA MONCHENGLADBACH (WALKER),4.40,4.80,1.60,2.20 1.19 1.21,- - -,- -
02/08/2020,00:24,82920,FC BAYERN MUNICH (INDRA13_27),vs RB LEIPZIG (SKRIPP),2.40,4.50,2.40,1.54 1.22 1.54,- - -,- -
02/08/2020,00:24,65620,1. FC KOLN (APHEX),vs TSG 1899 HOFFENHEIM (IAMDEVILWALK),2.30,4.33,2.55,1.48 1.23 1.59,- - -,- -
02/08/2020,00:24,19331,EINTRACHT FRANKFURT (ALBACK),vs VFL WOLFSBURG (SUPERNOVA),2.70,4.33,2.15,1.65 1.23 1.44,- - -,- -
02/08/2020,00:40,90854,FLUMINENSE (LIMA_R),vs TOLIMA (CASSIANO_F),1.85,4.33,3.40,1.30 1.22 1.87,- - -,- -
02/08/2020,00:40,13114,INDEPENDIENTE (VINICAI_),vs BAHIA (AU_GUSTO),8.50,8.00,1.22,3.70 1.09 1.08,- - -,- -
02/08/2020,01:00,13467,PARAGOMINAS,vs PAYSANDU,11.00,5.60,1.24,3.20 1.11 1.05,- - -,2.07 1.62
02/08/2020,01:00,18777,ALIANZA LIMA (LUIS_F),vs FLUMINENSE (LIMA_R),7.50,7.00,1.29,3.30 1.11 1.10,- - -,- -
02/08/2020,01:00,22841,UNIVERSITARIO (F_MATHI),vs COLO COLO (DDANIEL),1.12,11.00,13.00,1.04 1.05 5.00,- - -,- -
