
year, month, Date, time, duration(seconds), text length
2020, Sep , 30, 14, 26, 531 
2020, Sep , 30, 14, 2, 19 
2020, Sep , 30, 14, 26, 531 
2020, Sep , 30, 14, 84, 1597 
2020, Sep , 30, 14, 162, 2855 
2020, Sep , 30, 15, 121, 2425 
2020, Sep , 30, 17, 509, 9772 
2020, Sep , 30, 17, 217, 4327 
2020, Sep , 30, 18, 394, 7675 
2020, Sep , 30, 18, 93, 1782 
2020, Sep , 30, 18, 43, 804 
2020, Sep , 30, 18, 583, 11012 
2020, Sep , 30, 19, 687, 13378 
2020, Sep , 30, 19, 76, 1519 
2020, Sep , 30, 20, 50, 1019 
2020, Sep , 30, 22, 6, 124 
2020, Sep , 30, 22, 9, 177 
2020, Oct , 1, 7, 62, 1271 
2020, Oct , 1, 7, 19, 456 
2020, Oct , 1, 7, 21, 431 
2020, Oct , 1, 7, 21, 431 
2020, Oct , 1, 7, 9, 183 
2020, Oct , 1, 7, 60, 1122 
2020, Oct , 1, 8, 54, 1138 
2020, Oct , 1, 8, 72, 1265 
2020, Oct , 1, 8, 49, 830 
2020, Oct , 1, 8, 68, 1251 
2020, Oct , 1, 8, 68, 1251 
2020, Oct , 1, 10, 184, 3621 
2020, Oct , 1, 10, 97, 1956 
2020, Oct , 1, 10, 19, 382 
2020, Oct , 1, 10, 41, 853 
2020, Oct , 1, 11, 116, 2256 
2020, Oct , 1, 11, 116, 2256 
2020, Oct , 1, 11, 38, 761 
2020, Oct , 1, 11, 33, 629 
2020, Oct , 1, 11, 33, 629 
2020, Oct , 1, 12, 64, 1277 
2020, Oct , 1, 12, 39, 753 
2020, Oct , 1, 12, 39, 753 
2020, Oct , 1, 16, 90, 1700 
2020, Oct , 1, 16, 8, 127 
2020, Oct , 1, 16, 8, 127 
2020, Oct , 1, 16, 10, 192 
2020, Oct , 1, 16, 26, 285 
2020, Oct , 1, 16, 26, 285 
2020, Oct , 1, 16, 4, 82 
2020, Oct , 1, 16, 8, 155 
2020, Oct , 1, 16, 5, 105 
2020, Oct , 2, 14, 18, 365 
2020, Oct , 2, 16, 111, 2175 
2020, Oct , 2, 16, 35, 717 
2020, Oct , 2, 16, 69, 717 
2020, Oct , 2, 17, 219, 3975 
2020, Oct , 2, 23, 112, 2272 
2020, Oct , 3, 11, 117, 2445 
2020, Oct , 3, 11, 270, 5404 
2020, Oct , 3, 12, 30, 579 
2020, Oct , 3, 16, 83, 1408 
2020, Oct , 3, 16, 23, 442 
2020, Oct , 3, 16, 20, 379 
2020, Oct , 3, 16, 22, 403 
2020, Oct , 3, 17, 98, 1833 
2020, Oct , 3, 17, 71, 1526 
2020, Oct , 3, 17, 18, 415 
2020, Oct , 3, 17, 45, 915 
2020, Oct , 4, 9, 46, 919 
2020, Oct , 4, 9, 46, 919 
2020, Oct , 4, 10, 45, 913 
2020, Oct , 4, 10, 8, 165 
2020, Oct , 4, 10, 8, 165 
2020, Oct , 4, 11, 18, 384 
2020, Oct , 4, 11, 17, 357 
2020, Oct , 6, 14, 23, 453 
2020, Oct , 6, 14, 85, 1648 
2020, Oct , 6, 15, 131, 2742 
2020, Oct , 6, 15, 50, 1045 
2020, Oct , 6, 15, 70, 1450 
2020, Oct , 6, 15, 50, 949 
2020, Oct , 6, 15, 89, 1818 
2020, Oct , 6, 15, 18, 388 
2020, Oct , 6, 16, 56, 1141 
2020, Oct , 6, 16, 48, 852 
2020, Oct , 6, 16, 26, 463 
2020, Oct , 6, 16, 37, 803 
2020, Oct , 6, 17, 58, 1204 
2020, Oct , 6, 17, 83, 1575 
2020, Oct , 6, 17, 39, 788 
2020, Oct , 6, 17, 54, 985 
2020, Oct , 6, 17, 20, 364 
2020, Oct , 7, 10, 56, 910 
2020, Oct , 7, 10, 110, 910 
2020, Oct , 7, 14, 50, 905 
2020, Oct , 8, 9, 28, 588 
2020, Oct , 8, 9, 30, 585 
2020, Oct , 8, 9, 12, 249 
2020, Oct , 8, 9, 12, 249 
2020, Oct , 8, 9, 12, 249 
2020, Oct , 8, 9, 30, 588 
2020, Oct , 8, 9, 29, 575 
2020, Oct , 8, 9, 90, 1705 
2020, Oct , 8, 9, 53, 986 
2020, Oct , 8, 10, 37, 750 
2020, Oct , 8, 10, 74, 750 
2020, Oct , 8, 10, 37, 750 
2020, Oct , 8, 10, 39, 767 
2020, Oct , 8, 10, 34, 646 
2020, Oct , 8, 10, 53, 1061 
2020, Oct , 8, 11, 53, 1061 
2020, Oct , 8, 11, 48, 896 
2020, Oct , 8, 11, 48, 896 
2020, Oct , 8, 11, 6, 123 
2020, Oct , 8, 12, 76, 1552 
2020, Oct , 8, 12, 68, 1350 
2020, Oct , 8, 12, 108, 2104 
2020, Oct , 8, 12, 68, 1335 
2020, Oct , 8, 12, 32, 671 
2020, Oct , 8, 12, 21, 417 
2020, Oct , 8, 12, 21, 417 
2020, Oct , 8, 13, 12, 207 
2020, Oct , 8, 13, 69, 1366 
2020, Oct , 8, 13, 69, 1367 
2020, Oct , 8, 13, 15, 310 
2020, Oct , 8, 13, 108, 2104 
2020, Oct , 8, 13, 33, 648 
2020, Oct , 8, 13, 42, 697 
2020, Oct , 8, 18, 34, 676 
2020, Oct , 8, 18, 83, 1680 
2020, Oct , 8, 18, 14, 280 
2020, Oct , 8, 18, 275, 5253 
2020, Oct , 8, 18, 239, 4352 
2020, Oct , 8, 18, 500, 9720 
2020, Oct , 8, 18, 38, 751 
2020, Oct , 8, 18, 13, 267 
2020, Oct , 8, 18, 13, 267 
2020, Oct , 8, 18, 69, 1437 
2020, Oct , 8, 18, 11, 224 
2020, Oct , 8, 18, 103, 2035 
2020, Oct , 8, 19, 32, 623 
2020, Oct , 8, 19, 14, 269 
2020, Oct , 8, 19, 32, 597 
2020, Oct , 8, 19, 47, 937 
2020, Oct , 8, 19, 26, 547 
2020, Oct , 8, 19, 39, 795 
2020, Oct , 8, 19, 100, 1993 
2020, Oct , 8, 19, 9, 215 
2020, Oct , 8, 19, 24, 481 
2020, Oct , 8, 19, 17, 295 
2020, Oct , 8, 19, 16, 299 
2020, Oct , 8, 19, 17, 287 
2020, Oct , 8, 19, 14, 301 
2020, Oct , 8, 19, 13, 269 
2020, Oct , 8, 19, 6, 132 
2020, Oct , 8, 19, 6, 114 
2020, Oct , 8, 19, 14, 258 
2020, Oct , 8, 19, 35, 681 
2020, Oct , 8, 19, 522, 9644 
2020, Oct , 8, 19, 63, 1015 
2020, Oct , 8, 19, 14, 284 
2020, Oct , 8, 19, 28, 284 
2020, Oct , 8, 19, 9, 189 
2020, Oct , 8, 19, 13, 277 
2020, Oct , 8, 20, 16, 316 
2020, Oct , 8, 20, 15, 306 
2020, Oct , 8, 20, 22, 474 
2020, Oct , 8, 20, 123, 2475 
2020, Oct , 8, 20, 7, 152 
2020, Oct , 8, 20, 55, 950 
2020, Oct , 8, 20, 321, 6684 
2020, Oct , 8, 20, 25, 529 
2020, Oct , 8, 20, 38, 770 
2020, Oct , 8, 20, 55, 1053 
2020, Oct , 8, 21, 21, 399 
2020, Oct , 8, 21, 24, 455 
2020, Oct , 8, 21, 53, 1105 
2020, Oct , 8, 22, 12, 219 
2020, Oct , 8, 23, 37, 674 
2020, Oct , 8, 23, 34, 712 
2020, Oct , 8, 23, 34, 712 
2020, Oct , 8, 23, 125, 2222 
2020, Oct , 8, 23, 109, 2096 
2020, Oct , 8, 23, 144, 2915 
2020, Oct , 8, 23, 718, 12812 
2020, Oct , 9, 0, 705, 12266 
2020, Oct , 9, 0, 45, 887 
2020, Oct , 9, 0, 29, 560 
2020, Oct , 9, 0, 98, 1605 
2020, Oct , 9, 0, 779, 14386 
2020, Oct , 18, 14, 2, 10 
2020, Oct , 18, 14, 9, 166 
2020, Oct , 18, 14, 23, 511 
2020, Oct , 18, 16, 43, 738 
